price,sqft_m2,link,rooms,address
1000,,http://idealista.com/inmueble/28651559/,,"Ático en calle José Hierro, 18, Dehesa Vieja-Puente Cultural, San Sebastián de los Reyes"
750,,http://idealista.com/inmueble/30099965/,,"Piso en calle Aurora, 7, Zona Estación- Centro, Tres Cantos"
350,,http://idealista.com/inmueble/31294469/,,"Piso en calle tahona, Miraflores de la Sierra"
500,,http://idealista.com/inmueble/27696252/,,"Casa o chalet independiente en avenida General, 26, Zona Industrial, Paracuellos de Jarama"
1200,,http://idealista.com/inmueble/31294291/,,"Ático en calle de palestina, 14, Norte, Alcobendas"
1250,,http://idealista.com/inmueble/31294073/,,Piso en Santo Domingo
900,,http://idealista.com/inmueble/2143828/,,"Piso en paseo Chopera, 57, Ensanche, Alcobendas"
500,,http://idealista.com/inmueble/31292914/,,"Piso en calle del río, 2, Residencial Jarama, Paracuellos de Jarama"
350,,http://idealista.com/inmueble/31292812/,,"Piso en calle de san vicente, 4, Torrelaguna"
350,,http://idealista.com/inmueble/27050583/,,"Ático en calle de San Blas, 5, El Vellón"
700,,http://idealista.com/inmueble/31291614/,,"Piso en Alcobendas Centro, Alcobendas"
900,,http://idealista.com/inmueble/31291431/,,"Piso en calle real, 81, Centro Urbano, San Sebastián de los Reyes"
6000,,http://idealista.com/inmueble/31086704/,,Casa o chalet independiente en La Moraleja
5800,,http://idealista.com/inmueble/1003247/,,"Casa o chalet independiente en El Soto de la Moraleja, La Moraleja"
1300,,http://idealista.com/inmueble/29589246/,,"Dúplex en El Soto de la Moraleja, La Moraleja"
6000,,http://idealista.com/inmueble/28667145/,,Chalet pareado en La Moraleja
4000,,http://idealista.com/inmueble/30685884/,,"Casa o chalet independiente en paseo de alcobendas, 14, La Moraleja"
2150,,http://idealista.com/inmueble/30926363/,,"Chalet pareado en paseo de los parques, 32, Encinar de los Reyes, La Moraleja"
1700,,http://idealista.com/inmueble/30923347/,,"Chalet pareado en paseo de los parques, 32, Encinar de los Reyes, La Moraleja"
1900,,http://idealista.com/inmueble/30250669/,,"Chalet pareado en paseo de los Parques, 32, Encinar de los Reyes, La Moraleja"
1700,,http://idealista.com/inmueble/29053940/,,"Chalet pareado en paseo de los Parques, 31, Encinar de los Reyes, La Moraleja"
2250,,http://idealista.com/inmueble/30927947/,,"Piso en Encinar de los Reyes, La Moraleja"
2100,,http://idealista.com/inmueble/30673990/,,"Piso en Encinar de los Reyes, La Moraleja"
9000,,http://idealista.com/inmueble/29084206/,,Casa o chalet independiente en La Moraleja
2500,,http://idealista.com/inmueble/393186/,,"Casa o chalet independiente en camino de Cabanillas, 8, Navalafuente"
2500,,http://idealista.com/inmueble/1067372/,,"Chalet adosado en El Soto de la Moraleja, La Moraleja"
